year,autocorrelation,entropy
2000,-0.11777524947899322,0.9934472383802027
2001,-0.11397157230245882,0.9969954265557696
2002,-0.2144130379424509,0.998363672593813
2003,-0.15825489269301288,0.9883368304150855
2004,-0.053146853146853024,0.9988637928982025
2005,-0.0478799739073712,0.9798687566511528
2006,-0.12028679341911554,0.9997137365932959
2007,-0.20605479785745065,0.9916369388949187
2008,-0.05635578666494352,0.9994477254831418
2009,-0.13764953499286245,0.9910760598382222
2010,-0.04620084338309393,0.998363672593813
2011,-0.10003810975609734,0.9995910341890979
2012,-0.07074496135195932,0.9983373765218819
2013,0.016508221993833623,0.9923075748432348
2014,-0.08650988499806189,0.9868287625475567
2015,-0.09975869951739859,0.999818246960343
2016,0.04344512195121916,0.9995910341890979
2017,-0.024790162014444565,0.9874950186107327
2018,-0.062279050552115106,0.9903491972290307
2019,-0.06046121829196063,0.977895682231035
2020,-0.15723058199382364,0.986150524858824
2021,-0.03140457186765717,0.964078764808229
2022,-0.09812027646792883,0.993934561997096
2023,-0.05246515273434692,0.9998153271549207
2024,-0.007058159232072252,0.9573556679485173
max,0.04344512195121916,0.999818246960343
min,-0.2144130379424509,0.9573556679485173
mean,-0.08568376050009117,0.9896980231816535
median,-0.0786274231750106,0.9928774066117187
std_dev,0.06367939238038034,0.012180611049523024
